央视频道,#genre#
CCTV-1HD,http://121.43.174.215/shtv.php?id=168 
CCTV-2HD,http://121.43.174.215/shtv.php?id=7
CCTV-3HD,http://121.43.174.215/shtv.php?id=13
CCTV-4HD,http://121.43.174.215/shtv.php?id=18 
CCTV-5HD,http://121.43.174.215/shtv.php?id=20
CCTV-6HD,http://121.43.174.215/shtv.php?id=21 
CCTV-7HD,http://121.43.174.215/shtv.php?id=23 
CCTV-8HD,http://121.43.174.215/shtv.php?id=24 
CCTV-9HD,http://121.43.174.215/shtv.php?id=26 
CCTV-10HD,http://121.43.174.215/shtv.php?id=27 
CCTV-11HD,http://121.43.174.215/shtv.php?id=31 
CCTV-12HD,http://121.43.174.215/shtv.php?id=33 
CCTV-13HD,http://121.43.174.215/shtv.php?id=34 
