央视频道,#genre#
CCTV-1HD,http://121.43.174.215/kaixin.php?id=cctv1 
CCTV-2HD,http://121.43.174.215/kaixin.php?id=cctv2 
CCTV-3HD,http://121.43.174.215/kaixin.php?id=cctv3 
CCTV-4HD,http://121.43.174.215/kaixin.php?id=cctv4 
CCTV-5HD,http://121.43.174.215/kaixin.php?id=cctv5 
CCTV-6HD,http://121.43.174.215/kaixin.php?id=cctv6 
CCTV-7HD,http://121.43.174.215/kaixin.php?id=cctv7 
CCTV-8HD,http://121.43.174.215/kaixin.php?id=cctv8 
CCTV-9HD,http://121.43.174.215/kaixin.php?id=cctv9 
CCTV-10HD,http://121.43.174.215/kaixin.php?id=cctv10 
CCTV-11HD,http://121.43.174.215/kaixin.php?id=cctv11 
CCTV-12HD,http://121.43.174.215/kaixin.php?id=cctv12 
CCTV-13HD,http://121.43.174.215/kaixin.php?id=cctv13 
CCTV-14HD,http://121.43.174.215/kaixin.php?id=cctv14 
CCTV-15HD,http://121.43.174.215/kaixin.php?id=cctv15 
CCTV-16HD,http://121.43.174.215/kaixin.php?id=cctv16 
CCTV-17HD,http://121.43.174.215/kaixin.php?id=cctv17 
卫视频道,#genre#
北京卫视HD,http://121.43.174.215/kaixin.php?id=bjws 
东方卫视HD,http://121.43.174.215/kaixin.php?id=dfws 
天津卫视HD,http://121.43.174.215/kaixin.php?id=tjws 
重庆卫视HD,http://121.43.174.215/kaixin.php?id=cqws 
黑龙江卫视HD,http://121.43.174.215/kaixin.php?id=hljws 
吉林卫视HD,http://121.43.174.215/kaixin.php?id=jlws 
辽宁卫视HD,http://121.43.174.215/kaixin.php?id=lnws 
内蒙古卫视,http://121.43.174.215/kaixin.php?id=nmws 
宁夏卫视HD,http://121.43.174.215/kaixin.php?id=nxws 
甘肃卫视HD,http://121.43.174.215/kaixin.php?id=gsws 
青海卫视HD,http://121.43.174.215/kaixin.php?id=qhws 
陕西卫视HD,http://121.43.174.215/kaixin.php?id=sxws 
河北卫视HD,http://121.43.174.215/kaixin.php?id=hbws 
山西卫视HD,http://121.43.174.215/kaixin.php?id=sxiws 
山东卫视HD,http://121.43.174.215/kaixin.php?id=sdws 
安徽卫视HD,http://121.43.174.215/kaixin.php?id=ahws 
河南卫视HD,http://121.43.174.215/kaixin.php?id=hnws 
湖北卫视HD,http://121.43.174.215/kaixin.php?id=hubws 
湖南卫视HD,http://121.43.174.215/kaixin.php?id=hunws 
江西卫视HD,http://121.43.174.215/kaixin.php?id=jxws 
江苏卫视HD,http://121.43.174.215/kaixin.php?id=jsws 
浙江卫视HD,http://121.43.174.215/kaixin.php?id=zjws 
东南卫视HD,http://121.43.174.215/kaixin.php?id=dnws 
厦门卫视HD,http://121.43.174.215/kaixin.php?id=xmws 
海峡卫视HD,http://121.43.174.215/kaixin.php?id=hxws 
广东卫视HD,http://121.43.174.215/kaixin.php?id=gdws 
深圳卫视HD,http://121.43.174.215/kaixin.php?id=szws 
广西卫视HD,http://121.43.174.215/kaixin.php?id=gxws 
云南卫视HD,http://121.43.174.215/kaixin.php?id=ynws 
贵州卫视HD,http://121.43.174.215/kaixin.php?id=gzws 
四川卫视HD,http://121.43.174.215/kaixin.php?id=scws 
康巴卫视HD,http://121.43.174.215/kaixin.php?id=kbws 
新疆卫视HD,http://121.43.174.215/kaixin.php?id=xjws 
兵团卫视HD,http://121.43.174.215/kaixin.php?id=btws 
西藏卫视HD,http://121.43.174.215/kaixin.php?id=xzws 
西藏藏语卫视HD,http://121.43.174.215/kaixin.php?id=xzwszy 
海南卫视HD,http://121.43.174.215/kaixin.php?id=hinws 
三沙卫视HD,http://121.43.174.215/kaixin.php?id=ssws 
