央视节目,#genre#
CCTV-1HD,http://121.43.174.215/migu.php?id=cctv1 
CCTV-2HD,http://121.43.174.215/migu.php?id=cctv2 
CCTV-3HD,http://121.43.174.215/migu.php?id=cctv3 
CCTV-4HD,http://121.43.174.215/migu.php?id=cctv4 
CCTV-5HD,http://121.43.174.215/migu.php?id=cctv5 
CCTV-5+HD,http://121.43.174.215/migu.php?id=cctv5p 
CCTV-6HD,http://121.43.174.215/migu.php?id=cctv6 
CCTV-7HD,http://121.43.174.215/migu.php?id=cctv7 
CCTV-8HD,http://121.43.174.215/migu.php?id=cctv8 
CCTV-9HD,http://121.43.174.215/migu.php?id=cctv9 
CCTV-10HD,http://121.43.174.215/migu.php?id=cctv10 
CCTV-11HD,http://121.43.174.215/migu.php?id=cctv11 
CCTV-12HD,http://121.43.174.215/migu.php?id=cctv12 
CCTV-13HD,http://121.43.174.215/migu.php?id=cctv13 
CCTV-14HD,http://121.43.174.215/migu.php?id=cctv14 
CCTV-15HD,http://121.43.174.215/migu.php?id=cctv15 
CCTV-17HD,http://121.43.174.215/migu.php?id=cctv17 
卫视节目,#genre#
东方卫视HD,http://121.43.174.215/migu.php?id=dfws 
重庆卫视HD,http://121.43.174.215/migu.php?id=cqws 
吉林卫视HD,http://121.43.174.215/migu.php?id=jlws 
辽宁卫视HD,http://121.43.174.215/migu.php?id=lnws 
内蒙古卫视,http://121.43.174.215/migu.php?id=nmws 
宁夏卫视  ,http://121.43.174.215/migu.php?id=nxws 
甘肃卫视HD,http://121.43.174.215/migu.php?id=gsws 
青海卫视,http://121.43.174.215/migu.php?id=qhws 
陕西卫视,http://121.43.174.215/migu.php?id=sxws 
山东卫视HD,http://121.43.174.215/migu.php?id=sdws  
河南卫视HD,http://121.43.174.215/migu.php?id=hnws 
湖北卫视HD,http://121.43.174.215/migu.php?id=hubws 
湖南卫视HD,http://121.43.174.215/migu.php?id=hunws 
江西卫视HD,http://121.43.174.215/migu.php?id=jxws 
江苏卫视HD,http://121.43.174.215/migu.php?id=jsws 
广东卫视HD,http://121.43.174.215/migu.php?id=gdws 
广西卫视HD,http://121.43.174.215/migu.php?id=gxws 
云南卫视HD,http://121.43.174.215/migu.php?id=ynws 
贵州卫视,http://121.43.174.215/migu.php?id=gzws  
新疆卫视,http://121.43.174.215/migu.php?id=xjws  
西藏卫视,http://121.43.174.215/migu.php?id=xzws 
海南卫视,http://121.43.174.215/migu.php?id=hinws 
经典电影,http://121.43.174.215/migu.php?id=jdxgdy
高清大片,http://121.43.174.215/migu.php?id=gqdp
CHC动作电影,http://121.43.174.215/migu.php?id=chcdzdy
CHC家庭影院,http://121.43.174.215/migu.php?id=chcjtyy
东方影视,http://121.43.174.215/migu.php?id=dfys
法治天地,http://121.43.174.215/migu.php?id=fztd 
金鹰纪实,http://121.43.174.215/migu.php?id=jyjs 
嘉佳卡通,http://121.43.174.215/migu.php?id=jjkt 
